Team,Player,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Navy,Donovan Draper,,F,34,33,28.4,3.0,7.0,0.429,0.6,2.2,0.293,2.4,4.8,0.491,0.475,1.8,2.2,0.8,2.5,5.7,8.2,2.1,1.5,0.6,1.7,2.5,8.4
Navy,Jinwoo Kim,,G,34,23,25.9,2.3,6.0,0.382,1.1,2.7,0.407,1.2,3.3,0.363,0.473,1.1,1.8,0.639,0.7,1.4,2.1,1.0,0.4,0.1,0.7,1.5,6.8
Navy,Lysander Rehnstrom,,G,34,11,13.0,1.5,4.1,0.374,1.3,3.5,0.361,0.3,0.6,0.45,0.529,0.1,0.2,0.667,0.1,1.0,1.1,0.3,0.2,0.0,0.6,1.1,4.4
Navy,Jack Medale,,G,14,0,10.4,1.5,3.6,0.412,0.4,1.9,0.222,1.1,1.7,0.625,0.471,0.9,1.1,0.867,0.5,1.9,2.4,0.7,0.3,0.1,0.6,0.7,4.4
Navy,Mike Woods,,F,30,1,14.7,1.5,3.2,0.474,0.1,0.4,0.167,1.4,2.8,0.518,0.484,1.0,1.2,0.838,1.1,1.4,2.6,0.9,1.1,0.2,0.6,1.7,4.1
Navy,Sam Krist,,G,13,0,9.2,1.2,2.9,0.395,1.0,2.5,0.406,0.2,0.5,0.333,0.566,0.5,0.5,1.0,0.4,0.4,0.8,0.2,0.3,0.2,0.2,0.8,3.8
Navy,Cam Cole,,G,26,0,9.9,0.9,2.7,0.348,0.5,1.7,0.279,0.5,1.0,0.462,0.435,0.5,0.7,0.684,0.1,0.7,0.8,0.5,0.5,0.1,0.5,1.7,2.8
Navy,Carnegie Johnson,,G,33,0,8.3,1.0,2.7,0.36,0.5,1.5,0.333,0.5,1.2,0.39,0.449,0.2,0.5,0.467,0.2,0.7,0.9,0.7,0.2,0.1,0.3,0.6,2.6
Navy,Davyn de Jongh,,G,1,0,4.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
Navy,Julian Gabbidon,,G,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Navy,David Burnett,,G,4,0,7.5,0.8,1.5,0.5,0.0,0.3,0.0,0.8,1.3,0.6,0.5,0.3,1.3,0.2,0.3,0.8,1.0,0.3,0.0,0.3,0.3,0.5,1.8
Navy,Mitch Fischer,,F,25,1,6.6,0.3,1.2,0.258,0.1,0.4,0.222,0.2,0.9,0.273,0.29,0.3,0.5,0.583,0.7,0.7,1.4,0.2,0.2,0.1,0.2,1.0,1.0
Navy,Cooper Jackson,,F,3,0,4.3,0.0,0.7,0.0,0.0,0.0,,0.0,0.7,0.0,0.0,0.3,0.7,0.5,0.0,0.3,0.3,0.3,0.3,0.0,0.0,1.0,0.3
Navy,Jackson Noble,,F,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Navy,Cam Cormany,,G,2,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0
Navy,Nyles Howard,,G,2,0,3.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Navy,Owen Gray,,F,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
